,,,
130N-1930-0212,ARR   4013,2/12/19 19:00,130N runs Anchorage to Fairbanks.
130N-1930-0213,ARR   4014,2/13/19 19:00,
130N-1930-0215,ARR   4327,2/15/19 19:00,
130N-1930-0217,ARR   4012,2/17/19 19:30,
130N-1930-0218,ARR   4008,2/18/19 19:30,
130N-1930-0219,ARR   4015,2/19/19 19:00,
130N-1930-0220,ARR   4012,2/20/19 19:00,
130N-1930-0222,ARR   4015,2/22/19 19:30,
130N-1930-0224,ARR   4007,2/24/19 19:30,
130N-1930-0225,ARR   4014,2/25/19 19:00,
130N-1930-0226,ARR   4007,2/26/19 19:00,
130N-1930-0227,ARR   4011,2/27/19 19:00,
130N-1930-0301,ARR   4006,3/1/19 19:00,
130N-1930-0303,ARR   4012,3/3/19 20:00,
130N-1930-0304,ARR   4004,3/4/19 19:00,
130N-1930-0305,ARR   4013,3/5/19 19:00,
130N-1930-0306,ARR   4011,3/6/19 19:00,
130N-1930-0308,ARR   4014,3/8/19 19:30,
130N-1930-0310,ARR   4013,3/10/19 19:00,
130N-1930-0311,ARR   4011,3/11/19 19:45,
130N-1930-0312,ARR   4008,3/12/19 19:30,
130N-1930-0313,ARR   4011,3/13/19 20:15,
130N-1930-0315,ARR   4008,3/15/19 19:45,
130N-1930-0317,ARR   4012,3/17/19 19:45,
130N-1930-0318,ARR   4008,3/18/19 19:45,
130N-1930-0319,ARR   4011,3/19/19 19:30,
130S-2000-0212,ARR   4007,2/12/19 19:45,130s runs Fairbanks to Anchorage
130S-2000-0213,ARR   4324,2/13/19 19:30,
130S-2000-0215,ARR   4004,2/15/19 19:30,
130S-2000-0217,ARR   4327,2/17/19 20:00,
130S-2000-0218,ARR   4004,2/18/19 19:30,
130S-2000-0219,ARR   4008,2/19/19 19:30,
130S-2000-0220,ARR   4015,2/20/19 19:30,
130S-2000-0222,ARR   4320,2/22/19 20:00,
130S-2000-0224,ARR   4011,2/24/19 20:00,
130S-2000-0225,ARR   4007,2/25/19 20:00,
130S-2000-0226,ARR   4011,2/26/19 20:00,
130S-2000-0227,ARR   4007,2/27/19 20:00,
130S-2000-0301,ARR   4014,3/1/19 19:30,
130S-2000-0303,ARR   4006,3/3/19 20:15,
130S-2000-0304,ARR   4012,3/4/19 20:30,
130S-2000-0305,ARR   4004,3/5/19 20:30,
130S-2000-0306,ARR   4007,3/6/19 19:30,
130S-2000-0308,ARR   4011,3/8/19 20:00,
130S-2000-0310,ARR   4012,3/10/19 19:30,
130S-2000-0311,ARR   4013,3/11/19 20:00,
130S-2000-0312,ARR   4012,3/12/19 19:30,
130S-2000-0313,ARR   4006,3/13/19 20:30,
130S-2000-0315,ARR   4011,3/15/19 20:00,
